lng,lat
-71.0129,45.3425
-70.9525,45.3328
-70.8618,45.2294
-70.8247,45.3917
-70.7808,45.4274
-70.638,45.383
-70.719,45.5092
-70.5721,45.6544
-70.3894,45.7292
-70.4169,45.7924
-70.2493,45.9368
-70.3098,45.9597
-70.2946,46.0923
-70.2589,46.0989
-70.2466,46.1342
-70.2905,46.1903
-70.2466,46.271
-70.204,46.327
-70.0571,46.4151
-69.9994,46.6956
-69.2303,47.455
-69.0381,47.4132
-69.0504,47.2578
-68.8843,47.1748
-68.6206,47.2643
-68.335,47.3546
-68.1564,47.3165
-67.8804,47.1038
-67.7898,47.0664
-67.7802,45.9359
-67.7527,45.9177
-67.809,45.7599
-67.6524,45.6208
-67.4533,45.5987
-67.4176,45.5044
-67.5014,45.4823
-67.4231,45.3714
-67.4863,45.2768
-67.3434,45.1297
-67.2487,45.183
-67.1223,45.123
-66.9672,44.8315
-66.8628,44.7409
-67.3105,44.4945
-67.9051,44.3268
-68.6673,43.8702
-68.8431,43.7274
-69.7137,43.6639
-70.0818,43.5625
-70.5569,42.9182
-70.7108,43.0649
-70.8302,43.1391
-70.8179,43.2292
-70.9799,43.3631
-70.9717,43.5675
-71.0829,45.3029
